categoria	caso	pais	es_legal	norma	notas
categoria_2	categoria_2_caso_1	Argentina	no	Ley 11723	NO ES LEGAL. El plazo general de protección al derecho de autor en Argentina es de 70 años a partir de la muerte del autor. Existe una disposición que establece que el plazo de protección para obras fotográficas es de 20 años a partir de la fecha de la primera publicación (no aplica a fotografías inéditas o sobre las que no se tenga esa información). El archivo debe estudiar la situación de cada una de las miles de fotografías analizando, una por una, si ya han sido publicadas previamente, y solo podría digitalizar y publicar aquellas que entraron en dominio público (las efectivamente publicadas hace más de 20 años). Las fotografías inéditas o sobre las que no se tenga información de publicación permanecen huérfanas y se presumen protegidas por derechos de autor. No existen disposiciones que regulen la situación de obras cuyos autores no están identificados o no han podido ser localizados. No existe ninguna excepción que cubra las actividades de reproducción (digitalización, carga/descarga) ni las de puesta a disposición a demanda para los usuarios del repositorio del archivo. Ver: Artículo 34 (plazo de protección de fotografías).
categoria_2	categoria_2_caso_1	Bolivia	no	Ley 1322	NO ES LEGAL. El plazo general de protección al derecho de autor en Bolivia es de 50 años a partir de la muerte del autor. Existe una disposición que establece que el plazo de protección para obras fotográficas es de 50 años a partir de la fecha de la primera publicación (no aplica a fotografías inéditas o sobre las que no se tenga esa información). Para determinar si entraron en dominio público, el archivo debe estudiar la situación de cada una de las miles de fotografías analizando, una por una, si ya han sido publicadas previamente, y solo podría digitalizar y publicar aquellas que entraron en dominio público (efectivamente publicadas hace más de 50 años). En este escenario, hay fotografías sacadas en la década de 1970 que aún están protegidas por derechos de autor, mientras que las fotografías inéditas, las que no cuentan con información de publicación o las que no se conoce el autor, permanecen huérfanas y se presumen también protegidas por derechos de autor. No existen disposiciones que regulen la situación de obras cuyos autores no están identificados o no han podido ser localizados. No existe ninguna excepción que cubra las actividades de reproducción (digitalización, carga/descarga) ni las de puesta a disposición a demanda para los usuarios del repositorio del archivo. Ver: Artículo 18 (plazo de protección), Artículo 19 (plazo de protección de obras fotográficas y otras).
categoria_2	categoria_2_caso_1	Brasil	no	Ley 9610	NO ES LEGAL. El plazo general de protección al derecho de autor en Brasil es de 70 años a partir de la muerte del autor. Existe una disposición que establece que el plazo de protección para obras fotográficas es de 70 años a partir de la fecha de la primera publicación (no aplica a fotografías inéditas o sobre las que no se tenga esa información). También existe una disposición que establece que las obras de autor desconocido pertenecen al dominio público. De esta forma, en este escenario, el archivo solo podría digitalizar aquellas fotografías de autor desconocido. No existen disposiciones que regulen la situación de otro tipo de obras huérfanas: las obras de autores que no se han podido localizar a pesar de haberse efectuado una previa búsqueda diligente. No existe ninguna excepción que cubra las actividades de reproducción (digitalización, carga/descarga) ni las de puesta a disposición a demanda para los usuarios del repositorio del archivo. Ver: Artículo 44 (plazo de protección de obras fotográficas y otras), Artículo 45.II (obras que pertenecen al dominio público).
categoria_2	categoria_2_caso_1	Chile	no	Ley 17336	NO ES LEGAL. El plazo general de protección al derecho de autor en Chile es de 70 años a partir de la muerte del autor. Existe una disposición que establece que las obras de autor desconocido pertenecen al dominio público. De esta forma, en este escenario, el archivo solo podría digitalizar aquellas fotografías de autor desconocido. No existen disposiciones que regulen la situación de otro tipo de obras huérfanas: las obras de autores que no se han podido localizar a pesar de haberse efectuado una previa búsqueda diligente. Existe una excepción que permite a las bibliotecas y archivos efectuar la reproducción electrónica de obras de su colección para ser consultadas gratuita y simultáneamente hasta por un número razonable de usuarios, solo en terminales de redes de la institución y en condiciones que garanticen que no se puedan hacer copias electrónicas de esas reproducciones. Esta excepción no cubríría el acceso remoto al repositorio e implicaría utilizar medidas técnicas anticopia obligatorias. Ver: Artículo 5.D (definición obra anónima), Artículo 13 (plazo de protección de obra anónima), Artículo 11 (obras autor desconocido en dominio público), Artículo 71.K (copias electrónicas por bibliotecas y archivos).
categoria_2	categoria_2_caso_1	Colombia	no	Ley 1915 y Ley 23	NO ES LEGAL. El plazo general de protección al derecho de autor en Colombia es de 70 años a partir de la muerte del autor. Las obras de autor desconocido se consideran obras anónimas y el plazo de protección de este tipo de obra es de 70 años a contar desde la primera publicación. Todas las fotografías de este escenario (sacadas en las décadas de 1960 y 1970) están protegidas por derechos de autor. La ley colombiana cuenta con un régimen de obras huérfanas (obras cuyos autores no están identificados o no han podido ser localizados). Este régimen no es aplicable en este escenario por dos razones: 1) para que la obra se considere huérfana, debe haber sido publicada o radiodifundida en Colombia (no aplica a las fotografías inéditas que puedan existir en este escenario) y 2) la ley no prevé la posibilidad de uso de fotografías dentro del régimen de obras huérfanas. Existe una excepción que prevé la posibilidad de que un archivo realice una reproducción en una sola copia cuando ello sea necesario para su conservación, pero no aplicaría a este escenario porque no cubre las actividades de puesta a disposición a demanda y a distancia para los usuarios del repositorio. Ver: Ley 23 Artículo 8(e) (obra anónima), Ley 23 Artículo 25 (plazo de protección de obras anónimas), Ley 1915 Artículo 18 (definición de obras huérfanas), Ley 1915 Artículo 20 (uso de obras huérfanas), Ley 23 Artículo 38 (reproducción en una sola copia en archivo o biblioteca).
categoria_2	categoria_2_caso_1	Costa Rica	no	Ley 6683	NO ES LEGAL. El plazo general de protección al derecho de autor en Costa Rica es de 70 años a partir de la muerte del autor. No existen disposiciones que prevean plazos especiales menores para este escenario, por lo que todas las fotografías (sacadas en las décadas de 1960 y 1970) están protegidas por derechos de autor. No existen disposiciones que regulen la situación de obras cuyos autores no están identificados o no han podido ser localizados. No existe ninguna excepción que cubra las actividades de reproducción (digitalización, carga/descarga) ni las de puesta a disposición a demanda para los usuarios del repositorio del archivo. Ver: Artículo 58 (plazo de protección).
categoria_2	categoria_2_caso_1	Cuba	incierto	Ley 14	LEGALIDAD INCIERTA. El plazo general de protección al derecho de autor en Cuba es de 50 años a partir de la muerte del autor. Existe un plazo de protección menor específico para obras fotográficas de 25 años a partir de la utilización de la obra. Esto podría cubrir este escenario, pero la expresión "a partir de la utilización de la obra" no deja claro a partir de qué momento comienza a contarse el plazo o si aplicaría a fotografías inéditas. Existe una excepción que permite a los centros de documentación (entre otros) reproducir una obra por un procedimiento fotográfico u otro análogo, siempre que la obra sea de conocimiento público, que se haga con carácter no lucrativo y que la cantidad de ejemplares se limite estrictamente a las necesidades de una actividad específica. No queda claro si esta excepción cubre los usos previstos en este escenario. La expresión "que la obra sea de conocimiento público" dejaría fuera las fotografías inéditas. Además, la digitalización que realiza el archivo en este escenario difícilmente se "limita estrictamente a las necesidades de una actividad específica". Ver: Artículo 47 (plazo de protección de fotografías), Artículo 38(d) (reproducción en bibliotecas, centros de documentación, instituciones científicas).
categoria_2	categoria_2_caso_1	Ecuador	gratis	Código Ingenios	SÍ, ES LEGAL. El plazo general de protección al derecho de autor en Ecuador es de 70 años a partir de la muerte del autor, pero existe un plazo de protección específico para obras fotográficas de 70 años contados a partir de la realización, divulgación o publicación, la que fuere ulterior. De esta forma, todas las fotografías de este escenario (sacadas en las décadas del 60 y 70) están protegidas por derechos de autor. Sin embargo, existe una disposición que define a las obras huérfanas como aquellas cuyos derechos de autor o derechos conexos se encuentran vigentes, pero cuyos titulares no están identificados o de estarlo, no ha sido posible su localización. Esta excepción establece que aquellos que pretendan utilizar obras huérfanas deberán ejecutar todos los actos y gestiones razonables tendientes a la identificación del titular del derecho y notificar a la autoridad nacional competente en materia de derechos intelectuales (SENADI), para que, en caso de que el legítimo titular o su derechohabiente apareciere, pueda ejercer sus derechos. Ver: Artículo 207 (Duración de los derechos patrimoniales en obras fotográficas), Artículo 214 (obras huérfanas).
categoria_2	categoria_2_caso_1	El Salvador	no	Ley de Propiedad Intelectual (modificada por el Decreto Legislativo 611)	NO ES LEGAL. El plazo general de protección al derecho de autor en El Salvador es de 70 años a partir de la muerte del autor. No existen disposiciones que prevean plazos especiales menores para este escenario, por lo que todas las fotografías (sacadas en las décadas de 1960 y 1970) están protegidas por derechos de autor. No existen disposiciones que regulen la situación de obras cuyos autores no están identificados o no han podido ser localizados. Existe una excepción que prevé la posibilidad de que un archivo realice una reproducción individual por motivos de preservación o sustitución de un ejemplar, pero no aplicaría a este escenario porque no cubre las actividades de puesta a disposición a demanda para los usuarios del repositorio del archivo. Ver: Artículo 86 (plazo de protección); Artículo 45(d) (reproducción individual en bibliotecas y archivos).
categoria_2	categoria_2_caso_1	Guatemala	no	Decreto 33-98 y modificativas	NO ES LEGAL. El plazo general de protección al derecho de autor en Guatemala es de 75 años a partir de la muerte del autor. No existen disposiciones que prevean plazos especiales menores para este escenario, por lo que todas las fotografías (sacadas en las décadas de 1960 y 1970) están protegidas por derechos de autor. No existen disposiciones que regulen la situación de obras cuyos autores no están identificados o no han podido ser localizados. Existe una excepción que prevé la posibilidad de que un archivo realice una reproducción individual por motivos de preservación o sustitución de un ejemplar, pero no aplicaría a este escenario porque no cubre las actividades de puesta a disposición a demanda para los usuarios del repositorio del archivo. Ver: Artículo 43 (plazo de protección), Artículo 64(b) (reproducción individual en bibliotecas y archivos).
